Name	Start	Duration	GPU	Context
void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)8, (unsigned int)16, (unsigned int)4, __half, __half, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)	54.1092s	3.744 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.1092s	873.213 μs	GPU 0	Stream 7
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0	54.11s	174.207 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.1102s	6.228 ms	GPU 0	Stream 7
triton_poi_fused_mul_silu_slice_1	54.1164s	695.229 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.1171s	3.265 ms	GPU 0	Stream 7
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_2	54.1204s	294.687 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.1207s	1.211 ms	GPU 0	Stream 7
triton_poi_fused_3	54.1219s	151.936 μs	GPU 0	Stream 7
void vllm::reshape_and_cache_flash_kernel<unsigned short, unsigned short, (vllm::Fp8KVCacheDataType)0>(const T1 *, const T1 *, T2 *, T2 *, const long *, long, long, long, long, long, int, int, int, const float *, const float *, int)	54.1221s	226.399 μs	GPU 0	Stream 7
void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)1, (unsigned int)128, (unsigned int)2, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __half, __half, __half, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)	54.1223s	401.278 μs	GPU 0	Stream 7
void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, (unsigned int)64, (unsigned int)1, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)4, (unsigned int)1, (flashinfer::PosEncodingMode)0, __half, __half, __half, float, int, flashinfer::DefaultAttention<(bool)0, (bool)0, (bool)0, (bool)0>>, PagedParams>(T2)	54.1227s	10.496 μs	GPU 0	Stream 7
void flashinfer::PersistentVariableLengthMergeStatesKernel<(unsigned int)8, (unsigned int)8, (unsigned int)16, (unsigned int)4, __half, __half, int>(T5 *, float *, T7 *, T6 *, float *, unsigned int, unsigned int *, unsigned int)	54.1227s	3.776 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.1227s	874.205 μs	GPU 0	Stream 7
triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_0	54.1236s	174.335 μs	GPU 0	Stream 7
turing_fp16_s1688gemm_fp16_256x128_ldg8_f2f_tn	54.1238s	6.237 ms	GPU 0	Stream 7
triton_poi_fused_mul_silu_slice_1	54.13s	695.517 μs	GPU 0	Stream 7
