Time	Total Time	Instances	Avg	Med	Min	Max	StdDev	Style	Range
0.3%	95.599 ms	504	189.679 μs	188.227 μs	174.669 μs	232.250 μs	10.287 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	95.590 ms	504	189.662 μs	186.380 μs	173.921 μs	911.274 μs	34.118 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	95.408 ms	504	189.302 μs	186.897 μs	174.237 μs	284.375 μs	11.886 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	95.278 ms	504	189.044 μs	187.499 μs	174.459 μs	238.282 μs	10.268 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	95.125 ms	504	188.739 μs	187.136 μs	173.977 μs	239.893 μs	10.547 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	95.076 ms	504	188.643 μs	186.709 μs	174.298 μs	361.810 μs	12.955 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	95.027 ms	504	188.546 μs	186.419 μs	173.423 μs	231.059 μs	11.204 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	94.870 ms	504	188.234 μs	185.501 μs	173.774 μs	261.241 μs	10.572 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	94.863 ms	504	188.220 μs	186.116 μs	174.746 μs	243.665 μs	10.371 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
0.3%	94.774 ms	504	188.043 μs	184.942 μs	173.910 μs	499.623 μs	18.774 μs	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.self_attn.attn', 'Inputs': [[100, 2048], [100, 512], [100, 512]]}
