Time	Total Time	Instances	Avg	Med	Min	Max	StdDev	Style	Range
0.0%	1.137 μs	1	1.137 μs	1.137 μs	1.137 μs	1.137 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.self_attn', 'Outputs': [[16, 2048]]}
0.0%	1.137 μs	1	1.137 μs	1.137 μs	1.137 μs	1.137 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn', 'Outputs': [[512, 2048]]}
0.0%	1.136 μs	1	1.136 μs	1.136 μs	1.136 μs	1.136 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[84, 2048], [84, 2048]]}
0.0%	1.136 μs	1	1.136 μs	1.136 μs	1.136 μs	1.136 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[20, 2048], [20, 2048]]}
0.0%	1.136 μs	1	1.136 μs	1.136 μs	1.136 μs	1.136 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[1873, 3072]]}
0.0%	1.136 μs	1	1.136 μs	1.136 μs	1.136 μs	1.136 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[84, 16384]]}
0.0%	1.136 μs	1	1.136 μs	1.136 μs	1.136 μs	1.136 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[68, 3072]]}
0.0%	1.135 μs	1	1.135 μs	1.135 μs	1.135 μs	1.135 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[4, 2048], [4, 2048]]}
0.0%	1.135 μs	1	1.135 μs	1.135 μs	1.135 μs	1.135 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[512, 3072]]}
0.0%	1.135 μs	1	1.135 μs	1.135 μs	1.135 μs	1.135 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.mlp.act_fn', 'Outputs': [[256, 8192]]}
0.0%	1.135 μs	1	1.135 μs	1.135 μs	1.135 μs	1.135 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Outputs': [[52, 2048]]}
0.0%	1.135 μs	1	1.135 μs	1.135 μs	1.135 μs	1.135 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[36, 2048], [36, 2048]]}
0.0%	1.134 μs	1	1.134 μs	1.134 μs	1.134 μs	1.134 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[68, 16384]]}
0.0%	1.134 μs	1	1.134 μs	1.134 μs	1.134 μs	1.134 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[52, 16384]]}
0.0%	1.134 μs	1	1.134 μs	1.134 μs	1.134 μs	1.134 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[20, 3072]]}
0.0%	1.133 μs	1	1.133 μs	1.133 μs	1.133 μs	1.133 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[84, 16384]]}
0.0%	1.133 μs	1	1.133 μs	1.133 μs	1.133 μs	1.133 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[36, 2048], [36, 2048]]}
0.0%	1.133 μs	1	1.133 μs	1.133 μs	1.133 μs	1.133 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[4, 2048], [4, 2048]]}
0.0%	1.132 μs	1	1.132 μs	1.132 μs	1.132 μs	1.132 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[20, 2048], [20, 2048]]}
0.0%	1.132 μs	1	1.132 μs	1.132 μs	1.132 μs	1.132 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[20, 2048], [20, 2048]]}
0.0%	1.131 μs	1	1.131 μs	1.131 μs	1.131 μs	1.131 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.0.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[20, 3072]]}
0.0%	1.131 μs	1	1.131 μs	1.131 μs	1.131 μs	1.131 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.mlp.act_fn', 'Outputs': [[99, 8192]]}
0.0%	1.131 μs	1	1.131 μs	1.131 μs	1.131 μs	1.131 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Outputs': [[84, 2048]]}
0.0%	1.130 μs	1	1.130 μs	1.130 μs	1.130 μs	1.130 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1', 'Outputs': [[256, 2048], [256, 2048]]}
0.0%	1.130 μs	1	1.130 μs	1.130 μs	1.130 μs	1.130 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[84, 2048], [84, 2048]]}
0.0%	1.130 μs	1	1.130 μs	1.130 μs	1.130 μs	1.130 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[1873, 3072]]}
0.0%	1.129 μs	1	1.129 μs	1.129 μs	1.129 μs	1.129 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[20, 2048]]}
0.0%	1.129 μs	1	1.129 μs	1.129 μs	1.129 μs	1.129 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13', 'Outputs': [[16, 2048], [16, 2048]]}
0.0%	1.129 μs	1	1.129 μs	1.129 μs	1.129 μs	1.129 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[52, 2048], [52, 2048]]}
0.0%	1.129 μs	1	1.129 μs	1.129 μs	1.129 μs	1.129 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[256, 2048]]}
0.0%	1.129 μs	1	1.129 μs	1.129 μs	1.129 μs	1.129 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[68, 3072]]}
0.0%	1.129 μs	1	1.129 μs	1.129 μs	1.129 μs	1.129 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[20, 2048]]}
0.0%	1.129 μs	1	1.129 μs	1.129 μs	1.129 μs	1.129 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[1873, 3072]]}
0.0%	1.129 μs	1	1.129 μs	1.129 μs	1.129 μs	1.129 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[36, 2048], [36, 2048]]}
0.0%	1.128 μs	1	1.128 μs	1.128 μs	1.128 μs	1.128 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[36, 3072]]}
0.0%	1.128 μs	1	1.128 μs	1.128 μs	1.128 μs	1.128 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[4, 2048], [4, 2048]]}
0.0%	1.127 μs	1	1.127 μs	1.127 μs	1.127 μs	1.127 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[256, 16384]]}
0.0%	1.127 μs	1	1.127 μs	1.127 μs	1.127 μs	1.127 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Outputs': [[36, 2048]]}
0.0%	1.127 μs	1	1.127 μs	1.127 μs	1.127 μs	1.127 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3', 'Outputs': [[68, 2048], [68, 2048]]}
0.0%	1.126 μs	1	1.126 μs	1.126 μs	1.126 μs	1.126 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[36, 2048], [36, 2048]]}
0.0%	1.126 μs	1	1.126 μs	1.126 μs	1.126 μs	1.126 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7', 'Outputs': [[36, 2048], [36, 2048]]}
0.0%	1.125 μs	1	1.125 μs	1.125 μs	1.125 μs	1.125 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[52, 3072]]}
0.0%	1.125 μs	1	1.125 μs	1.125 μs	1.125 μs	1.125 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[20, 2048], [20, 2048]]}
0.0%	1.125 μs	1	1.125 μs	1.125 μs	1.125 μs	1.125 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2', 'Outputs': [[99, 2048], [99, 2048]]}
0.0%	1.125 μs	1	1.125 μs	1.125 μs	1.125 μs	1.125 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.self_attn', 'Outputs': [[512, 2048]]}
0.0%	1.124 μs	1	1.124 μs	1.124 μs	1.124 μs	1.124 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[4, 2048], [4, 2048]]}
0.0%	1.124 μs	1	1.124 μs	1.124 μs	1.124 μs	1.124 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'Outputs': [[256, 2048]]}
0.0%	1.124 μs	1	1.124 μs	1.124 μs	1.124 μs	1.124 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Outputs': [[36, 2048]]}
0.0%	1.124 μs	1	1.124 μs	1.124 μs	1.124 μs	1.124 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[20, 2048]]}
0.0%	1.123 μs	1	1.123 μs	1.123 μs	1.123 μs	1.123 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[4, 2048], [4, 2048]]}
0.0%	1.123 μs	1	1.123 μs	1.123 μs	1.123 μs	1.123 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[52, 3072]]}
0.0%	1.123 μs	1	1.123 μs	1.123 μs	1.123 μs	1.123 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[84, 2048]]}
0.0%	1.123 μs	1	1.123 μs	1.123 μs	1.123 μs	1.123 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[1873, 16384]]}
0.0%	1.123 μs	1	1.123 μs	1.123 μs	1.123 μs	1.123 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9.mlp.act_fn', 'Outputs': [[1873, 8192]]}
0.0%	1.122 μs	1	1.122 μs	1.122 μs	1.122 μs	1.122 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn', 'Outputs': [[512, 2048]]}
0.0%	1.122 μs	1	1.122 μs	1.122 μs	1.122 μs	1.122 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[4, 3072]]}
0.0%	1.122 μs	1	1.122 μs	1.122 μs	1.122 μs	1.122 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.9', 'Outputs': [[99, 2048], [99, 2048]]}
0.0%	1.121 μs	1	1.121 μs	1.121 μs	1.121 μs	1.121 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[256, 2048]]}
0.0%	1.121 μs	1	1.121 μs	1.121 μs	1.121 μs	1.121 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[84, 2048]]}
0.0%	1.121 μs	1	1.121 μs	1.121 μs	1.121 μs	1.121 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13', 'Outputs': [[512, 2048], [512, 2048]]}
0.0%	1.121 μs	1	1.121 μs	1.121 μs	1.121 μs	1.121 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[36, 2048]]}
0.0%	1.121 μs	1	1.121 μs	1.121 μs	1.121 μs	1.121 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[1873, 16384]]}
0.0%	1.120 μs	1	1.120 μs	1.120 μs	1.120 μs	1.120 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.mlp', 'Outputs': [[512, 2048]]}
0.0%	1.120 μs	1	1.120 μs	1.120 μs	1.120 μs	1.120 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[1873, 3072]]}
0.0%	1.120 μs	1	1.120 μs	1.120 μs	1.120 μs	1.120 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.mlp.act_fn', 'Outputs': [[68, 8192]]}
0.0%	1.120 μs	1	1.120 μs	1.120 μs	1.120 μs	1.120 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.mlp.act_fn', 'Outputs': [[256, 8192]]}
0.0%	1.120 μs	1	1.120 μs	1.120 μs	1.120 μs	1.120 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.8.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[4, 3072]]}
0.0%	1.119 μs	1	1.119 μs	1.119 μs	1.119 μs	1.119 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[36, 2048]]}
0.0%	1.119 μs	1	1.119 μs	1.119 μs	1.119 μs	1.119 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[52, 2048]]}
0.0%	1.119 μs	1	1.119 μs	1.119 μs	1.119 μs	1.119 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[68, 3072]]}
0.0%	1.118 μs	1	1.118 μs	1.118 μs	1.118 μs	1.118 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[256, 16384]]}
0.0%	1.118 μs	1	1.118 μs	1.118 μs	1.118 μs	1.118 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[4, 2048]]}
0.0%	1.118 μs	1	1.118 μs	1.118 μs	1.118 μs	1.118 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[1873, 2048], [1873, 2048]]}
0.0%	1.117 μs	1	1.117 μs	1.117 μs	1.117 μs	1.117 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.mlp.act_fn', 'Outputs': [[16, 8192]]}
0.0%	1.117 μs	1	1.117 μs	1.117 μs	1.117 μs	1.117 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[1873, 2048]]}
0.0%	1.117 μs	1	1.117 μs	1.117 μs	1.117 μs	1.117 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[99, 2048], [99, 2048]]}
0.0%	1.116 μs	1	1.116 μs	1.116 μs	1.116 μs	1.116 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[36, 2048], [36, 2048]]}
0.0%	1.116 μs	1	1.116 μs	1.116 μs	1.116 μs	1.116 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.self_attn', 'Outputs': [[20, 2048]]}
0.0%	1.116 μs	1	1.116 μs	1.116 μs	1.116 μs	1.116 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[36, 2048]]}
0.0%	1.116 μs	1	1.116 μs	1.116 μs	1.116 μs	1.116 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.5.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[20, 2048], [20, 2048]]}
0.0%	1.115 μs	1	1.115 μs	1.115 μs	1.115 μs	1.115 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[4, 2048]]}
0.0%	1.115 μs	1	1.115 μs	1.115 μs	1.115 μs	1.115 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[68, 16384]]}
0.0%	1.114 μs	1	1.114 μs	1.114 μs	1.114 μs	1.114 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.10.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[99, 16384]]}
0.0%	1.114 μs	1	1.114 μs	1.114 μs	1.114 μs	1.114 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[84, 2048], [84, 2048]]}
0.0%	1.114 μs	1	1.114 μs	1.114 μs	1.114 μs	1.114 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[20, 16384]]}
0.0%	1.114 μs	1	1.114 μs	1.114 μs	1.114 μs	1.114 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.13.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[20, 2048]]}
0.0%	1.114 μs	1	1.114 μs	1.114 μs	1.114 μs	1.114 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[36, 2048], [36, 2048]]}
0.0%	1.114 μs	1	1.114 μs	1.114 μs	1.114 μs	1.114 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6.mlp.act_fn', 'Outputs': [[512, 8192]]}
0.0%	1.114 μs	1	1.114 μs	1.114 μs	1.114 μs	1.114 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[68, 16384]]}
0.0%	1.113 μs	1	1.113 μs	1.113 μs	1.113 μs	1.113 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[36, 2048], [36, 2048]]}
0.0%	1.113 μs	1	1.113 μs	1.113 μs	1.113 μs	1.113 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[256, 2048], [256, 2048]]}
0.0%	1.113 μs	1	1.113 μs	1.113 μs	1.113 μs	1.113 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[256, 3072]]}
0.0%	1.113 μs	1	1.113 μs	1.113 μs	1.113 μs	1.113 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[20, 16384]]}
0.0%	1.113 μs	1	1.113 μs	1.113 μs	1.113 μs	1.113 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.mlp.act_fn', 'Outputs': [[16, 8192]]}
0.0%	1.112 μs	1	1.112 μs	1.112 μs	1.112 μs	1.112 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11', 'Outputs': [[99, 2048], [99, 2048]]}
0.0%	1.112 μs	1	1.112 μs	1.112 μs	1.112 μs	1.112 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[52, 16384]]}
0.0%	1.111 μs	1	1.111 μs	1.111 μs	1.111 μs	1.111 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.11.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[84, 3072]]}
0.0%	1.111 μs	1	1.111 μs	1.111 μs	1.111 μs	1.111 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.post_attention_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[256, 2048], [256, 2048]]}
0.0%	1.111 μs	1	1.111 μs	1.111 μs	1.111 μs	1.111 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn', 'Outputs': [[512, 2048]]}
0.0%	1.110 μs	1	1.110 μs	1.110 μs	1.110 μs	1.110 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM', 'Outputs': [[99, 2048]]}
0.0%	1.110 μs	1	1.110 μs	1.110 μs	1.110 μs	1.110 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.1.self_attn.o_proj', 'TrainableParams': {'weight': [2048, 2048]}, 'Outputs': [[68, 2048]]}
0.0%	1.110 μs	1	1.110 μs	1.110 μs	1.110 μs	1.110 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.3.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[4, 2048], [4, 2048]]}
0.0%	1.110 μs	1	1.110 μs	1.110 μs	1.110 μs	1.110 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.4.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[4, 2048], [4, 2048]]}
0.0%	1.110 μs	1	1.110 μs	1.110 μs	1.110 μs	1.110 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.7.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[36, 2048], [36, 2048]]}
0.0%	1.110 μs	1	1.110 μs	1.110 μs	1.110 μs	1.110 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.norm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[256, 2048], [256, 2048]]}
0.0%	1.109 μs	1	1.109 μs	1.109 μs	1.109 μs	1.109 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.input_layernorm', 'TrainableParams': {'weight': [2048]}, 'Outputs': [[36, 2048], [36, 2048]]}
0.0%	1.109 μs	1	1.109 μs	1.109 μs	1.109 μs	1.109 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.12.mlp.gate_up_proj', 'TrainableParams': {'weight': [16384, 2048]}, 'Outputs': [[68, 16384]]}
0.0%	1.109 μs	1	1.109 μs	1.109 μs	1.109 μs	1.109 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[36, 3072]]}
0.0%	1.109 μs	1	1.109 μs	1.109 μs	1.109 μs	1.109 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.15.mlp.down_proj', 'TrainableParams': {'weight': [2048, 8192]}, 'Outputs': [[256, 2048]]}
0.0%	1.109 μs	1	1.109 μs	1.109 μs	1.109 μs	1.109 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.2.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[1873, 3072]]}
0.0%	1.109 μs	1	1.109 μs	1.109 μs	1.109 μs	1.109 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.6', 'Outputs': [[52, 2048], [52, 2048]]}
0.0%	1.108 μs	1	1.108 μs	1.108 μs	1.108 μs	1.108 μs	0 ns	PushPop	:{'Module': 'LlamaForCausalLM.model.layers.14.self_attn.qkv_proj', 'TrainableParams': {'weight': [3072, 2048]}, 'Outputs': [[99, 3072]]}
